LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C23234;7.5KΩ (7501) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23241;750Ω (7500) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23242;75KΩ (7502) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23253;820Ω (8200) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23254;82KΩ (8202) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23260;9.1KΩ (9101) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23265;91KΩ (9102) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23345;22Ω (22R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4197;240KΩ (2403) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23350;240Ω (2400) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23352;24KΩ (2402) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25190;27Ω (27R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25196;56Ω (56R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25197;5.1Ω (5R10) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25803;100KΩ (1003) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25805;110KΩ (1103) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25808;120KΩ (1203) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25810;18KΩ (1802) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25811;200KΩ (2003) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25819;47KΩ (4702) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25822;680KΩ (6803) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25950;11KΩ (1102) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25981;8.2KΩ (8201) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C27592;68Ω (68R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C31850;22KΩ (2202) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25804;10KΩ (1002) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23197;51Ω (51R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23255;82Ω (82R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22764;1.1KΩ (1101) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22781;110Ω (1100) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22795;130KΩ (1303) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22796;130Ω (1300) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22813;160KΩ (1603) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22814;160Ω (1600) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4198;24Ω (24R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22984;30KΩ (3002) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23146;360KΩ (3603) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25194;360Ω (3600) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25969;430KΩ (4303) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23170;430Ω (4300) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23219;620KΩ (6203) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23220;620Ω (6200) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23240;750KΩ (7503) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C23264;910Ω (9100) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C25199;91Ω (91R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
